disaster_type,severity_score,affected_population,country,gdp_per_capita,infrastructure_density,casualties,economic_damage_million_usd
wildfire,0.076,31863,Pakistan,1500,0.397,13,0.0
landslide,0.413,125153,Australia,55000,0.248,55,1.71
tornado,0.51,17646,Haiti,1400,0.806,44,0.02
drought,0.929,18590,Chile,15000,0.529,57,0.2
wildfire,0.044,46245,India,2100,0.905,3,0.01
tsunami,0.773,62170,USA,63000,0.768,154,1.71
volcano,0.695,195818,Pakistan,1500,0.309,878,0.16
tsunami,0.422,11801,Indonesia,4300,0.112,35,0.02
wildfire,0.085,160974,Turkey,9600,0.566,113,0.14
tornado,0.812,19206,Bangladesh,2500,0.459,38,0.04
drought,0.932,121675,Pakistan,1500,0.467,982,0.1
hurricane,0.99,33495,Brazil,8700,0.629,51,0.22
tornado,0.65,39387,Brazil,8700,0.863,126,0.17
earthquake,0.655,40623,India,2100,0.171,224,0.04
volcano,0.327,25717,Chile,15000,0.705,34,0.18
volcano,0.647,74133,China,12500,0.445,91,0.41
flood,0.709,10190,Brazil,8700,0.888,46,0.14
hurricane,0.49,14584,Philippines,3500,0.617,34,0.04
tornado,0.032,66564,Turkey,9600,0.683,8,0.02
tornado,0.577,29014,Australia,55000,0.317,20,0.97
volcano,0.447,25896,Indonesia,4300,0.448,30,0.05
volcano,0.582,19356,Bangladesh,2500,0.133,56,0.01
drought,0.682,89231,Bangladesh,2500,0.734,346,0.18
volcano,0.647,24221,Mexico,10000,0.194,121,0.1
earthquake,0.943,32637,Bangladesh,2500,0.572,189,0.08
drought,0.682,50103,Haiti,1400,0.315,188,0.03
wildfire,0.545,613,Turkey,9600,0.958,0,0.0
hurricane,0.388,189363,Australia,55000,0.361,128,2.04
volcano,0.128,11130,Australia,55000,0.387,0,0.13
landslide,0.688,13674,India,2100,0.43,150,0.03
volcano,0.032,31115,Brazil,8700,0.73,10,0.01
earthquake,0.341,27670,Haiti,1400,0.92,19,0.01
flood,0.285,1307,Philippines,3500,0.699,2,0.0
hurricane,0.96,97010,Chile,15000,0.122,353,1.17
drought,0.838,72702,Mexico,10000,0.662,219,0.74
landslide,0.305,65477,USA,63000,0.628,45,3.82
tornado,0.595,22373,Brazil,8700,0.157,112,0.05
drought,0.315,15015,Nigeria,2100,0.525,41,0.01
wildfire,0.994,32665,Brazil,8700,0.697,116,0.24
flood,0.87,37099,India,2100,0.585,138,0.07
wildfire,0.31,27702,Nigeria,2100,0.899,35,0.02
landslide,0.436,33246,Bangladesh,2500,0.512,42,0.09
tsunami,0.989,98822,Haiti,1400,0.784,351,0.42
drought,0.297,56990,Turkey,9600,0.186,124,0.05
flood,0.866,21317,India,2100,0.969,69,0.03
drought,0.616,89243,Bangladesh,2500,0.426,429,0.23
landslide,0.404,38742,Australia,55000,0.44,26,0.95
tsunami,0.972,16183,Turkey,9600,0.902,77,0.27
landslide,0.648,15882,Haiti,1400,0.349,31,0.02
drought,0.171,24010,Australia,55000,0.169,3,0.17
drought,0.378,5523,Philippines,3500,0.245,7,0.0
landslide,0.066,110721,Turkey,9600,0.854,79,0.04
wildfire,0.334,15855,Nepal,1200,0.237,79,0.0
tsunami,0.565,26499,Philippines,3500,0.329,50,0.06
volcano,0.432,81628,Bangladesh,2500,0.556,369,0.16
tsunami,0.386,8732,Australia,55000,0.662,2,0.44
volcano,0.494,3591,Haiti,1400,0.181,6,0.0
hurricane,0.987,7874,Haiti,1400,0.104,56,0.01
earthquake,0.02,41543,India,2100,0.598,1,0.0
tsunami,0.639,16990,Chile,15000,0.663,84,0.33
tsunami,0.443,6076,India,2100,0.218,21,0.0
tornado,0.976,16649,China,12500,0.324,97,0.15
earthquake,0.31,39474,Philippines,3500,0.655,108,0.02
landslide,0.009,40920,China,12500,0.593,1,0.01
hurricane,0.822,26397,Japan,40000,0.603,38,1.63
tsunami,0.198,69523,USA,63000,0.548,23,2.11
landslide,0.999,27915,Pakistan,1500,0.82,72,0.05
hurricane,0.47,228551,Philippines,3500,0.909,354,0.46
tornado,0.964,50658,Brazil,8700,0.825,599,0.45
hurricane,0.975,1176,Philippines,3500,0.671,2,0.0
hurricane,0.446,1208,Nepal,1200,0.762,2,0.0
tornado,0.264,35186,Philippines,3500,0.136,30,0.03
tornado,0.089,23583,Haiti,1400,0.834,8,0.0
flood,0.003,170997,Indonesia,4300,0.891,1,0.0
volcano,0.053,32527,Mexico,10000,0.628,8,0.03
volcano,0.222,47888,USA,63000,0.197,81,0.49
earthquake,0.993,90601,Chile,15000,0.42,374,2.13
drought,0.984,70537,Philippines,3500,0.224,1709,0.71
wildfire,0.81,16307,Chile,15000,0.838,46,0.71
volcano,0.95,15921,USA,63000,0.178,16,0.39
landslide,0.619,39335,Pakistan,1500,0.734,73,0.05
earthquake,0.197,68337,Australia,55000,0.295,37,0.48
wildfire,0.333,217989,Turkey,9600,0.176,454,0.39
drought,0.353,100235,Brazil,8700,0.809,71,0.68
hurricane,0.248,45088,Nepal,1200,0.101,19,0.0
drought,0.975,47317,Australia,55000,0.363,36,4.91
flood,0.957,20454,China,12500,0.533,130,0.31
hurricane,0.696,81196,Chile,15000,0.135,266,0.29
flood,0.658,21497,Turkey,9600,0.782,21,0.22
earthquake,0.239,45893,Indonesia,4300,0.13,164,0.03
drought,0.635,43293,Chile,15000,0.418,412,0.6
hurricane,0.935,116024,Japan,40000,0.75,479,2.41
flood,0.819,70857,Nepal,1200,0.2,789,0.07
volcano,0.115,43150,China,12500,0.705,24,0.14
drought,0.754,151398,China,12500,0.407,511,2.23
drought,0.09,20356,USA,63000,0.873,1,0.32
earthquake,0.897,38104,Japan,40000,0.312,65,2.69
volcano,0.893,33414,Nepal,1200,0.402,151,0.05
earthquake,0.362,2709,Bangladesh,2500,0.845,10,0.01
flood,0.644,78855,Nigeria,2100,0.891,199,0.12
flood,0.676,82776,USA,63000,0.997,49,7.45
earthquake,0.983,12278,Brazil,8700,0.51,101,0.09
tornado,0.659,81102,Indonesia,4300,0.243,116,0.14
wildfire,0.983,56103,Indonesia,4300,0.869,394,0.51
earthquake,0.095,33374,Mexico,10000,0.307,33,0.02
earthquake,0.375,34849,Bangladesh,2500,0.451,43,0.06
volcano,0.67,43611,Turkey,9600,0.497,141,0.15
tornado,0.131,60659,China,12500,0.122,135,0.03
drought,0.637,88793,Mexico,10000,0.321,299,0.4
tornado,0.807,144160,India,2100,0.484,542,0.18
drought,0.183,2237,Nigeria,2100,0.794,0,0.0
tsunami,0.739,114016,Brazil,8700,0.687,290,1.68
tsunami,0.359,173694,Turkey,9600,0.755,725,0.98
wildfire,0.551,19627,USA,63000,0.276,9,0.69
tornado,0.179,111214,Turkey,9600,0.932,165,0.2
tornado,0.421,4630,Brazil,8700,0.675,8,0.04
flood,0.902,74903,Australia,55000,0.629,66,2.83
volcano,0.058,23929,Nigeria,2100,0.748,19,0.01
hurricane,0.712,65687,China,12500,0.387,355,0.33
hurricane,0.975,43414,India,2100,0.843,705,0.09
drought,0.985,12355,Nepal,1200,0.653,39,0.02
tornado,0.618,37602,Mexico,10000,0.367,164,0.32
volcano,0.86,9396,Nepal,1200,0.687,64,0.01
wildfire,0.411,69264,Australia,55000,0.603,60,0.68
earthquake,0.444,60314,Nigeria,2100,0.117,364,0.03
flood,0.111,107685,Philippines,3500,0.8,64,0.05
earthquake,0.843,52114,China,12500,0.653,192,0.47
landslide,0.095,57752,Chile,15000,0.807,12,0.06
tornado,0.364,18651,Australia,55000,0.82,24,0.44
drought,0.448,104154,USA,63000,0.694,85,4.54
flood,0.7,90010,Nepal,1200,0.999,259,0.1
volcano,0.766,10163,Nepal,1200,0.979,40,0.01
landslide,0.119,13782,Japan,40000,0.991,1,0.05
tsunami,0.363,20407,Brazil,8700,0.195,53,0.04
earthquake,0.132,1727,Philippines,3500,1.0,0,0.0
tsunami,0.289,6330,Indonesia,4300,0.757,6,0.01
landslide,0.376,3589,Australia,55000,0.199,3,0.02
flood,0.393,6099,Bangladesh,2500,0.387,24,0.01
landslide,0.816,8586,Brazil,8700,0.523,31,0.03
earthquake,0.728,6384,Australia,55000,0.416,4,0.33
tsunami,0.096,48963,Nigeria,2100,0.413,29,0.01
volcano,0.769,1956,Pakistan,1500,0.422,4,0.0
flood,0.923,131301,Nepal,1200,0.232,1437,0.11
earthquake,0.089,19945,USA,63000,0.971,0,0.1
drought,0.966,3734,USA,63000,0.551,6,0.09
earthquake,0.848,71283,Turkey,9600,0.617,319,0.65
tornado,0.23,88029,China,12500,0.217,171,0.25
drought,0.182,106278,USA,63000,0.747,23,1.7
earthquake,0.259,1009,Brazil,8700,0.951,1,0.0
drought,0.848,84466,Haiti,1400,0.936,128,0.4
drought,0.163,14146,Indonesia,4300,0.429,16,0.0
tsunami,0.093,872,Bangladesh,2500,0.327,0,0.0
wildfire,0.538,91917,China,12500,0.199,445,0.31
volcano,0.063,16021,Mexico,10000,0.846,5,0.01
landslide,0.239,32117,Haiti,1400,0.406,53,0.01
earthquake,0.515,160522,Australia,55000,0.804,153,4.85
landslide,0.291,172268,China,12500,0.703,454,1.42
wildfire,0.41,3727,Mexico,10000,0.519,2,0.03
wildfire,0.947,369,Japan,40000,0.32,0,0.01
earthquake,0.414,79416,Brazil,8700,0.656,151,0.11
wildfire,0.797,64039,Nigeria,2100,0.851,421,0.13
tsunami,0.56,2022,Brazil,8700,0.943,2,0.01
flood,0.697,73190,Mexico,10000,0.174,282,0.17
hurricane,0.461,17395,USA,63000,0.188,20,0.2
tsunami,0.703,13781,Turkey,9600,0.632,39,0.09
flood,0.884,17314,Indonesia,4300,0.602,110,0.08
flood,0.08,2091,Chile,15000,0.982,0,0.01
earthquake,0.083,8927,Mexico,10000,0.14,4,0.01
earthquake,0.166,22576,Indonesia,4300,0.268,12,0.02
flood,0.263,30855,Nigeria,2100,0.125,49,0.01
wildfire,0.391,74173,Indonesia,4300,0.527,202,0.07
earthquake,0.987,11607,Bangladesh,2500,0.197,96,0.04
earthquake,0.807,34921,Australia,55000,0.515,34,1.43
tsunami,0.072,2106,Brazil,8700,0.406,1,0.0
volcano,0.66,51274,China,12500,0.128,156,0.12
tsunami,0.558,22668,Pakistan,1500,0.976,54,0.02
volcano,0.515,104858,Nigeria,2100,0.865,339,0.24
tsunami,0.253,6802,Indonesia,4300,0.582,3,0.01
tsunami,0.554,48007,Chile,15000,0.919,38,1.43
tsunami,0.124,23368,Chile,15000,0.117,12,0.02
flood,0.345,33109,Japan,40000,0.602,50,0.33
wildfire,0.397,19496,Nigeria,2100,0.434,73,0.02
tsunami,0.266,50486,India,2100,0.564,97,0.05
drought,0.941,38393,Pakistan,1500,0.571,231,0.06
tornado,0.973,3067,Turkey,9600,0.712,10,0.02
tornado,0.541,44155,USA,63000,0.167,67,0.86
tsunami,0.32,50052,Brazil,8700,0.957,49,0.1
flood,0.946,29622,Pakistan,1500,0.843,199,0.07
tsunami,0.4,59043,Nigeria,2100,0.386,195,0.07
tornado,0.049,150363,China,12500,0.621,75,0.27
volcano,0.305,27476,Indonesia,4300,0.611,58,0.08
hurricane,0.373,101457,Bangladesh,2500,0.524,202,0.09
hurricane,0.564,64209,Pakistan,1500,0.842,303,0.06
drought,0.703,1200,Pakistan,1500,0.648,7,0.0
earthquake,0.144,4610,Turkey,9600,0.566,5,0.01
earthquake,0.244,82614,Nigeria,2100,0.837,116,0.04
tsunami,0.263,58951,Chile,15000,0.71,80,0.32
earthquake,0.629,14908,Chile,15000,0.798,33,0.23
tsunami,0.313,41045,Turkey,9600,0.143,24,0.07
hurricane,0.052,16905,Brazil,8700,0.669,7,0.04
flood,0.413,113324,Indonesia,4300,0.678,499,0.16
flood,0.244,12262,Nepal,1200,0.614,8,0.0
flood,0.333,15828,Haiti,1400,0.715,13,0.01
landslide,0.429,45923,Brazil,8700,0.706,27,0.75
flood,0.057,71902,Turkey,9600,0.217,169,0.02
tornado,0.146,29962,Nigeria,2100,0.735,27,0.02
tornado,0.139,57556,Nigeria,2100,0.764,10,0.03
tornado,0.492,158068,Nigeria,2100,0.483,361,0.11
hurricane,0.476,11969,Japan,40000,0.393,10,0.1
hurricane,0.789,189356,Haiti,1400,0.818,820,0.18
tsunami,0.162,13738,USA,63000,0.431,4,0.09
earthquake,0.19,41392,Australia,55000,0.367,4,0.37
tornado,0.898,25288,Haiti,1400,0.561,120,0.06
hurricane,0.455,38976,Mexico,10000,0.882,27,0.19
hurricane,0.478,36795,USA,63000,0.154,45,0.5
earthquake,0.475,22724,Haiti,1400,0.837,24,0.02
flood,0.234,108779,Philippines,3500,0.216,115,0.08
wildfire,0.062,112041,Indonesia,4300,0.891,13,0.1
wildfire,0.516,76551,USA,63000,0.375,105,4.63
hurricane,0.909,4588,Philippines,3500,0.225,16,0.01
flood,0.119,26592,Brazil,8700,0.123,13,0.02
wildfire,0.013,47389,Indonesia,4300,0.747,2,0.0
tornado,0.774,9910,Nigeria,2100,0.492,156,0.01
volcano,0.357,5870,Chile,15000,0.281,11,0.04
flood,0.735,17314,USA,63000,0.972,18,0.41
hurricane,0.46,104401,Brazil,8700,0.521,294,0.5
flood,0.521,70562,India,2100,0.39,152,0.12
landslide,0.719,92416,Haiti,1400,0.449,618,0.24
volcano,0.159,32399,Pakistan,1500,0.526,63,0.01
tornado,0.683,50883,Haiti,1400,0.941,75,0.07
flood,0.677,20500,USA,63000,0.992,25,1.6
flood,0.643,352046,Brazil,8700,0.728,785,0.93
drought,0.374,3273,Mexico,10000,0.314,5,0.01
hurricane,0.666,322259,Indonesia,4300,0.713,314,1.04
hurricane,0.777,133845,USA,63000,0.149,116,7.23
landslide,0.927,40958,Bangladesh,2500,0.608,139,0.07
tsunami,0.999,3257,China,12500,0.749,15,0.05
flood,0.693,21617,Chile,15000,0.843,49,0.19
flood,0.66,85290,Mexico,10000,0.729,153,0.48
earthquake,0.742,11962,Indonesia,4300,0.818,37,0.03
tsunami,0.358,126315,Bangladesh,2500,0.709,124,0.12
volcano,0.656,37228,Chile,15000,0.651,41,0.52
volcano,0.181,88854,Nepal,1200,0.654,74,0.01
wildfire,0.092,67196,Nepal,1200,0.32,26,0.0
hurricane,0.936,11839,Haiti,1400,0.575,54,0.01
earthquake,0.198,28650,Nepal,1200,0.145,18,0.0
tsunami,0.344,38387,Turkey,9600,0.215,51,0.12
volcano,0.521,54176,Indonesia,4300,0.992,110,0.12
tsunami,0.789,63272,Indonesia,4300,0.597,474,0.24
volcano,0.352,47475,Brazil,8700,0.232,97,0.09
hurricane,0.713,14697,Japan,40000,0.262,39,1.0
hurricane,0.61,34782,Chile,15000,0.617,59,0.58
earthquake,0.873,135039,India,2100,0.865,276,0.26
volcano,0.588,7041,Pakistan,1500,0.866,11,0.01
wildfire,0.666,13144,Indonesia,4300,0.212,45,0.04
earthquake,0.955,30606,Philippines,3500,0.516,81,0.05
flood,0.937,87530,Indonesia,4300,0.498,385,0.52
tsunami,0.569,23908,Bangladesh,2500,0.591,130,0.06
drought,0.776,223770,India,2100,0.858,1318,0.48
tsunami,0.888,38133,Turkey,9600,0.2,223,0.18
tornado,0.646,15043,Bangladesh,2500,0.408,37,0.01
drought,0.443,30916,China,12500,0.481,134,0.11
volcano,0.813,12014,Philippines,3500,0.268,42,0.01
tornado,0.8,6252,India,2100,0.609,55,0.01
hurricane,0.757,5602,Philippines,3500,0.772,19,0.01
earthquake,0.854,11013,Nigeria,2100,0.823,8,0.03
tornado,0.716,11618,Pakistan,1500,0.339,90,0.01
volcano,0.824,44538,Australia,55000,0.335,127,1.89
tornado,0.128,138472,Nigeria,2100,0.645,41,0.04
volcano,0.578,57183,Nepal,1200,0.614,87,0.04
landslide,0.681,27124,Japan,40000,0.797,34,0.46
tsunami,0.444,37728,Nigeria,2100,0.686,71,0.13
wildfire,0.33,109814,Chile,15000,0.529,126,0.77
volcano,0.741,52696,Japan,40000,0.227,101,2.4
tornado,0.574,2737,Nepal,1200,0.101,3,0.0
tsunami,0.051,42374,Indonesia,4300,0.603,12,0.02
wildfire,0.182,56450,Japan,40000,0.681,51,0.27
landslide,0.687,107695,Mexico,10000,0.521,298,0.85
volcano,0.927,188923,Pakistan,1500,0.248,434,0.18
tsunami,0.794,149664,Australia,55000,0.751,172,6.69
drought,0.18,142519,Nigeria,2100,0.98,42,0.09
landslide,0.52,5395,Mexico,10000,0.28,11,0.03
wildfire,0.25,286742,Brazil,8700,0.421,830,0.25
drought,0.106,21466,India,2100,0.147,6,0.0
drought,0.227,2602,Nigeria,2100,0.572,7,0.0
wildfire,0.228,32616,Brazil,8700,0.16,56,0.07
drought,0.115,1416,Chile,15000,0.119,0,0.0
flood,0.516,64222,Japan,40000,0.343,83,0.95
wildfire,0.603,72787,Indonesia,4300,0.75,162,0.29
tornado,0.155,51598,Nepal,1200,0.692,16,0.01
tornado,0.316,22328,Bangladesh,2500,0.387,16,0.01
tornado,0.354,61316,Indonesia,4300,0.636,106,0.12
hurricane,0.115,22572,Indonesia,4300,0.61,13,0.01
wildfire,0.442,18264,Australia,55000,0.924,15,0.57
tornado,0.245,33491,Haiti,1400,0.311,30,0.01
flood,0.55,92807,Indonesia,4300,0.635,304,0.25
volcano,0.958,3159,Australia,55000,0.369,10,0.07
landslide,0.491,4576,Indonesia,4300,0.854,10,0.01
volcano,0.129,83033,Chile,15000,0.934,60,0.22
tsunami,0.458,12791,Japan,40000,0.73,10,0.99
volcano,0.806,58355,Pakistan,1500,1.0,100,0.09
tsunami,0.007,35812,Australia,55000,0.41,0,0.01
tornado,0.885,24277,Mexico,10000,0.855,193,0.24
tornado,0.396,5794,Philippines,3500,0.276,6,0.01
landslide,0.444,56413,Haiti,1400,0.952,334,0.04
volcano,0.335,42136,Nigeria,2100,0.546,78,0.02
tornado,0.289,36016,Japan,40000,0.543,54,0.52
wildfire,0.05,19649,Philippines,3500,0.543,8,0.0
volcano,0.419,29369,India,2100,0.313,56,0.03
volcano,0.257,3080,Pakistan,1500,0.31,4,0.0
earthquake,0.831,150975,China,12500,0.762,517,2.3
wildfire,0.243,5231,Indonesia,4300,0.824,12,0.01
tsunami,0.185,75799,Brazil,8700,0.852,41,0.17
tornado,0.775,11048,USA,63000,0.677,11,0.52
tornado,0.431,1707,Haiti,1400,0.312,5,0.0
tornado,0.032,69244,India,2100,0.632,10,0.01
tornado,0.983,2853,Japan,40000,0.11,10,0.03
earthquake,0.208,4919,China,12500,0.127,3,0.01
tornado,0.974,27250,USA,63000,0.413,42,1.89
tsunami,0.606,1465,China,12500,0.43,3,0.01
volcano,0.639,120445,Mexico,10000,0.475,707,0.72
flood,0.167,68726,Pakistan,1500,0.966,108,0.03
volcano,0.363,41941,Turkey,9600,0.925,86,0.2
landslide,0.269,29158,Turkey,9600,0.643,26,0.09
tornado,0.257,38477,China,12500,0.633,59,0.21
landslide,0.469,611,Turkey,9600,0.991,0,0.01
tornado,0.871,58409,Chile,15000,0.349,214,0.34
tornado,0.793,206758,China,12500,0.192,2231,3.71
tsunami,0.517,23634,USA,63000,0.544,17,0.46
earthquake,0.624,6786,China,12500,0.643,14,0.05
wildfire,0.74,48107,Philippines,3500,0.702,198,0.07
tornado,0.899,44761,Philippines,3500,0.475,265,0.11
drought,0.368,11023,Brazil,8700,0.555,49,0.04
earthquake,0.898,534,Philippines,3500,0.812,2,0.0
earthquake,0.033,29813,Australia,55000,0.908,0,0.05
volcano,0.729,3457,Pakistan,1500,0.946,11,0.01
wildfire,0.926,35699,Australia,55000,0.624,55,2.05
hurricane,0.281,73608,Brazil,8700,0.468,143,0.34
flood,0.345,18558,Philippines,3500,0.159,23,0.02
drought,0.638,61238,USA,63000,0.672,49,4.07
tornado,0.91,10095,Chile,15000,0.736,43,0.14
landslide,0.22,21033,Turkey,9600,0.897,32,0.06
wildfire,0.182,13230,Haiti,1400,0.831,18,0.0
wildfire,0.953,117164,Philippines,3500,0.967,389,0.59
drought,0.982,71170,Chile,15000,0.588,144,0.59
hurricane,0.796,6577,Bangladesh,2500,0.447,34,0.02
volcano,0.444,11800,Philippines,3500,0.667,32,0.03
hurricane,0.314,10195,Japan,40000,0.683,5,0.15
wildfire,0.721,20564,Pakistan,1500,0.374,107,0.03
earthquake,0.171,103418,India,2100,0.722,46,0.06
wildfire,0.03,45362,Japan,40000,0.235,5,0.04
wildfire,0.812,80511,India,2100,0.578,1225,0.16
volcano,0.609,13049,Nepal,1200,0.118,68,0.0
tsunami,0.224,18985,Philippines,3500,0.715,24,0.02
wildfire,0.019,14737,Haiti,1400,0.496,1,0.0
wildfire,0.55,13511,China,12500,0.184,69,0.06
landslide,0.635,20915,Pakistan,1500,0.276,95,0.02
tornado,0.951,19473,China,12500,0.881,162,0.55
wildfire,0.747,15728,Nepal,1200,0.767,44,0.03
hurricane,0.605,7063,Brazil,8700,0.976,18,0.05
drought,0.884,24344,Indonesia,4300,0.507,145,0.05
flood,0.418,22112,India,2100,0.616,45,0.04
tsunami,0.985,19570,Haiti,1400,0.28,409,0.01
landslide,0.442,2436,Indonesia,4300,0.32,3,0.01
drought,0.427,84138,India,2100,0.594,102,0.16
earthquake,0.724,52128,Turkey,9600,0.545,214,0.51
earthquake,0.261,48868,Bangladesh,2500,0.957,51,0.11
drought,0.781,23620,Chile,15000,0.729,75,0.28
landslide,0.808,6904,Turkey,9600,0.387,16,0.04
volcano,0.907,6963,China,12500,0.691,15,0.18
flood,0.288,5548,Bangladesh,2500,0.71,19,0.0
earthquake,0.036,93666,Indonesia,4300,0.635,32,0.01
tsunami,0.771,21207,Pakistan,1500,0.235,119,0.02
landslide,0.553,29046,Japan,40000,0.809,54,2.22
wildfire,0.33,6331,Australia,55000,0.919,6,0.12
earthquake,0.318,19507,Philippines,3500,0.94,31,0.02
hurricane,0.804,123981,Bangladesh,2500,0.559,658,0.24
drought,0.349,37744,Nepal,1200,0.41,62,0.02
volcano,0.36,59918,Indonesia,4300,0.476,243,0.08
tornado,0.636,9011,Philippines,3500,0.588,66,0.01
landslide,0.473,35955,Australia,55000,0.677,11,0.87
drought,0.447,16601,Haiti,1400,0.972,8,0.03
flood,0.483,27856,Indonesia,4300,0.476,63,0.09
tornado,0.119,8361,USA,63000,0.231,1,0.09
tornado,0.998,89644,Indonesia,4300,0.689,447,0.57
landslide,0.414,19001,India,2100,0.25,36,0.02
drought,0.886,22308,India,2100,0.333,64,0.15
volcano,0.768,59982,Haiti,1400,0.655,205,0.04
volcano,0.063,15245,Pakistan,1500,0.377,6,0.0
tornado,0.031,204354,Japan,40000,0.391,35,0.17
hurricane,0.127,56330,Bangladesh,2500,0.115,164,0.02
wildfire,0.387,39980,Brazil,8700,0.426,34,0.15
drought,0.912,8100,Japan,40000,0.859,23,0.34
landslide,0.567,26014,Pakistan,1500,0.784,93,0.02
hurricane,0.682,50390,Turkey,9600,0.441,222,0.29
drought,0.359,14662,Australia,55000,0.643,5,0.17
tornado,0.995,90780,Nepal,1200,0.421,1117,0.25
hurricane,0.896,10529,USA,63000,0.711,12,0.94
drought,0.422,50117,Indonesia,4300,0.203,133,0.11
tsunami,0.534,17446,China,12500,0.304,63,0.04
volcano,0.376,12724,Brazil,8700,0.32,28,0.03
volcano,0.751,42327,Japan,40000,0.321,593,1.6
volcano,0.182,174618,Mexico,10000,0.234,184,0.18
wildfire,0.239,49861,Indonesia,4300,0.106,261,0.1
tsunami,0.329,44072,Japan,40000,0.594,59,0.62
volcano,0.215,3806,China,12500,0.251,6,0.01
flood,0.473,7545,Chile,15000,0.249,33,0.04
volcano,0.999,239906,Bangladesh,2500,0.861,589,0.33
hurricane,0.682,48353,Nepal,1200,0.63,81,0.02
landslide,0.949,10919,Philippines,3500,0.553,23,0.02
wildfire,0.998,2685,USA,63000,0.653,5,0.49
tornado,0.045,96427,Turkey,9600,0.781,8,0.06
wildfire,0.053,38307,Philippines,3500,0.193,34,0.0
volcano,0.684,27635,Philippines,3500,0.621,203,0.06
drought,0.48,27922,Brazil,8700,0.385,77,0.05
wildfire,0.081,112246,Nigeria,2100,0.462,47,0.04
landslide,0.178,25439,Nigeria,2100,0.853,18,0.01
flood,0.733,23254,Mexico,10000,0.542,72,0.24
flood,0.146,44858,Brazil,8700,0.699,45,0.08
earthquake,0.622,132462,Nepal,1200,0.422,987,0.09
flood,0.046,10959,Turkey,9600,0.409,3,0.01
wildfire,0.05,14619,Nigeria,2100,0.242,1,0.0
tsunami,0.053,56923,USA,63000,0.823,6,0.2
landslide,0.578,26349,India,2100,0.649,64,0.04
flood,0.15,7012,Nigeria,2100,0.496,12,0.01
earthquake,0.873,26598,Bangladesh,2500,0.597,87,0.05
tsunami,0.023,79630,Bangladesh,2500,0.648,6,0.0
earthquake,0.077,6488,Indonesia,4300,0.367,2,0.0
earthquake,0.097,36622,Nigeria,2100,0.438,23,0.01
tornado,0.51,28040,Mexico,10000,0.481,30,0.1
volcano,0.317,13192,Nigeria,2100,0.867,15,0.02
earthquake,0.763,17533,Indonesia,4300,0.874,91,0.05
volcano,0.397,23814,Indonesia,4300,0.908,123,0.05
earthquake,0.295,1968,Turkey,9600,0.453,2,0.0
wildfire,0.371,23266,Nepal,1200,0.224,50,0.01
tornado,0.458,27295,India,2100,0.829,52,0.04
hurricane,0.997,54677,Haiti,1400,0.32,218,0.09
tsunami,0.081,42085,Chile,15000,0.831,2,0.05
drought,0.258,65500,Haiti,1400,0.174,144,0.01
flood,0.257,4326,China,12500,0.377,18,0.02
drought,0.243,4629,Mexico,10000,0.944,2,0.02
tsunami,0.188,12871,Japan,40000,0.85,8,0.14
tsunami,0.075,57828,Pakistan,1500,0.735,16,0.01
hurricane,0.916,67800,Pakistan,1500,0.969,639,0.14
