disaster_type,current_area_km2,wind_speed,wind_direction,terrain_type,elevation_m,vegetation_density,days_active,predicted_area_km2
wildfire,20.59,28.1,57.3,mountainous,2091.0,0.804,28,21.16
flood,88.09,20.3,240.1,mountainous,2978.5,0.58,15,129.94
wildfire,16.53,14.7,237.1,hilly,663.6,0.306,16,24.7
flood,178.72,32.7,229.7,forested,1661.5,0.882,7,461.3
flood,13.73,38.3,45.3,flat,1965.2,0.514,18,20.84
wildfire,40.32,16.1,5.4,urban,1324.0,0.169,13,40.32
wildfire,49.99,42.2,58.1,hilly,2447.3,0.942,7,73.87
wildfire,48.5,22.2,236.5,urban,2151.7,0.664,13,48.5
wildfire,8.9,14.2,283.2,mountainous,515.4,0.772,29,17.5
flood,4.29,37.8,244.0,forested,1157.6,0.488,24,10.87
flood,24.0,7.8,340.6,mountainous,994.8,0.396,9,24.0
flood,183.79,16.1,251.4,flat,597.3,0.713,5,290.91
wildfire,193.1,26.7,34.1,flat,2679.8,0.183,27,203.86
flood,57.61,16.7,46.5,hilly,2614.3,0.586,6,97.42
flood,15.42,32.7,297.2,coastal,1489.1,0.314,23,41.12
wildfire,48.36,12.9,212.8,forested,817.7,0.201,5,55.72
flood,25.26,15.6,246.1,flat,1.3,0.717,27,39.27
wildfire,25.06,21.6,5.6,forested,1531.8,0.02,27,26.37
wildfire,57.09,11.2,212.6,hilly,2513.7,0.196,9,57.09
wildfire,146.77,18.5,198.7,coastal,2264.7,0.617,20,156.12
wildfire,99.95,35.7,84.2,coastal,2162.4,0.101,9,100.27
wildfire,82.88,25.7,86.7,flat,1279.1,0.905,25,170.6
flood,64.12,32.0,201.9,urban,1263.4,0.522,13,107.05
wildfire,17.16,39.1,114.3,mountainous,656.4,0.892,24,31.5
flood,7.66,38.3,202.1,coastal,857.9,0.893,24,17.33
wildfire,30.2,17.6,77.4,coastal,758.9,0.989,12,50.82
wildfire,7.46,15.3,236.4,flat,2315.8,0.783,16,9.19
flood,78.51,11.6,4.0,mountainous,373.6,0.015,11,135.05
flood,62.16,59.2,31.7,forested,452.9,0.561,24,196.77
wildfire,40.77,0.0,236.2,hilly,1152.7,0.09,20,40.77
wildfire,30.85,21.4,146.6,forested,425.3,0.601,24,76.39
wildfire,60.24,48.2,327.6,hilly,2364.0,0.985,26,101.13
flood,6.46,19.1,202.0,hilly,1773.6,0.906,9,7.46
flood,18.29,11.1,92.1,coastal,1295.9,0.854,7,28.07
wildfire,139.69,7.1,283.8,forested,1921.8,0.746,10,150.45
flood,195.25,15.8,342.8,hilly,2515.3,0.477,19,262.55
wildfire,30.09,48.1,21.2,mountainous,1951.3,0.672,1,43.73
flood,33.52,24.6,273.1,hilly,1687.4,0.272,23,51.13
flood,53.88,1.7,89.4,forested,2223.9,0.51,8,68.48
wildfire,18.87,37.1,46.3,forested,1762.1,0.742,3,40.47
flood,11.58,40.6,10.9,mountainous,1637.3,0.732,7,18.19
wildfire,10.82,2.6,1.4,flat,2772.4,0.777,8,10.82
wildfire,5.8,21.8,36.1,coastal,1237.8,0.694,10,7.53
flood,90.24,33.6,276.8,hilly,1531.1,0.553,14,153.91
wildfire,22.09,36.6,16.8,urban,1170.3,0.18,17,31.37
flood,11.92,8.9,163.9,coastal,1782.1,0.619,5,15.17
wildfire,203.68,27.6,22.3,coastal,2889.8,0.631,18,211.63
flood,5.42,11.6,43.2,urban,1387.5,0.312,6,7.3
flood,10.79,26.8,198.6,hilly,1744.6,0.07,21,19.59
wildfire,75.68,12.1,242.9,coastal,1945.4,0.436,23,75.68
flood,23.48,22.7,81.4,urban,2565.0,0.618,4,38.13
flood,26.22,38.6,137.8,hilly,2260.5,0.938,27,53.48
flood,14.63,10.0,0.9,flat,274.0,0.577,2,22.78
flood,278.37,24.0,140.4,urban,1643.2,0.008,28,397.39
flood,15.27,32.8,181.2,urban,2934.5,0.867,13,17.12
wildfire,15.06,0.0,336.2,urban,1596.4,0.854,23,15.06
flood,3.29,3.0,235.7,urban,11.2,0.023,29,3.94
flood,48.39,51.2,160.6,flat,1806.6,0.979,19,112.75
wildfire,43.12,35.7,303.3,mountainous,2423.7,0.425,2,43.12
wildfire,29.07,8.7,52.5,mountainous,1377.7,0.075,15,29.07
wildfire,6.41,23.6,46.6,hilly,1389.3,0.833,6,7.47
flood,160.75,2.3,313.9,hilly,688.6,0.246,23,160.75
flood,83.6,17.8,176.1,urban,2249.0,0.583,13,113.85
flood,3.18,27.8,197.9,flat,844.7,0.51,11,6.58
wildfire,49.71,44.3,345.1,flat,2912.7,0.665,17,68.37
flood,78.8,28.6,310.7,hilly,262.2,0.717,15,125.86
wildfire,3.72,0.0,251.4,flat,22.8,0.203,26,4.15
wildfire,88.18,44.1,130.1,urban,1933.6,0.659,17,121.64
flood,182.44,22.9,12.1,forested,251.1,0.438,16,349.53
wildfire,14.2,25.9,290.6,urban,2974.5,0.721,4,14.2
flood,38.64,56.0,223.5,coastal,2122.7,0.32,16,90.88
flood,11.13,0.0,213.3,flat,795.3,0.969,14,15.96
flood,1.86,38.5,326.1,hilly,702.8,0.267,18,3.74
flood,98.72,31.1,114.8,coastal,202.4,0.563,19,183.06
wildfire,101.96,6.8,185.2,forested,439.1,0.663,15,134.37
wildfire,15.28,54.1,265.5,hilly,1192.9,0.382,25,27.25
wildfire,1.2,8.6,5.1,flat,484.5,0.457,13,1.51
wildfire,1.8,21.0,203.1,forested,360.0,0.891,8,4.63
flood,102.67,21.4,29.5,hilly,2182.4,0.395,11,160.21
flood,47.63,31.7,285.3,urban,1624.1,0.644,1,98.94
flood,42.78,24.6,0.8,urban,880.6,0.421,9,67.87
wildfire,6.78,37.3,159.3,urban,1194.2,0.476,26,9.25
wildfire,19.52,44.9,181.0,urban,1216.7,0.215,10,20.27
wildfire,50.25,44.1,144.8,forested,1920.8,0.965,15,135.41
flood,12.35,0.0,176.5,coastal,2091.0,0.569,15,12.35
flood,27.15,18.2,114.8,mountainous,779.1,0.982,14,37.71
wildfire,30.43,19.8,295.2,forested,885.1,0.966,26,58.66
flood,33.48,0.0,25.9,forested,429.6,0.09,7,40.22
wildfire,61.26,13.6,20.7,mountainous,1496.1,0.223,13,61.75
flood,51.25,19.2,207.2,hilly,1391.6,0.278,9,89.75
flood,40.2,21.2,28.2,hilly,1183.5,0.965,18,69.84
wildfire,26.27,15.9,273.2,mountainous,191.1,0.548,1,41.12
wildfire,47.25,32.8,244.1,flat,2242.4,0.37,8,53.16
flood,9.06,16.5,228.6,hilly,1078.9,0.445,5,10.61
wildfire,100.67,22.4,113.3,coastal,286.1,0.405,21,146.4
flood,44.05,11.2,191.8,coastal,1731.7,0.79,18,54.31
wildfire,36.18,31.0,57.7,flat,2201.5,0.377,12,50.41
wildfire,24.66,32.4,65.6,coastal,2710.9,0.014,3,24.66
wildfire,25.94,21.4,84.5,mountainous,921.1,0.198,22,28.16
flood,11.05,27.6,258.0,forested,886.1,0.222,9,23.56
wildfire,65.65,15.6,111.7,hilly,2244.0,0.099,5,65.65
wildfire,99.92,36.5,323.9,urban,418.8,0.833,26,208.86
flood,1.18,60.2,272.0,forested,990.1,0.8,26,3.22
wildfire,36.95,35.1,165.3,mountainous,2780.6,0.217,22,36.95
wildfire,14.26,24.4,97.9,mountainous,461.9,0.355,26,15.19
wildfire,2.25,26.4,330.5,urban,2660.0,0.163,9,2.25
flood,127.28,44.9,21.8,hilly,1189.1,0.677,27,314.09
wildfire,29.1,26.1,228.0,mountainous,2847.3,0.514,26,29.1
flood,8.59,14.1,126.6,hilly,1000.2,0.191,16,19.59
wildfire,22.68,18.3,282.5,coastal,1591.6,0.458,8,23.84
wildfire,101.66,5.1,62.5,coastal,268.9,0.325,26,142.08
flood,9.32,13.8,297.2,hilly,1487.1,0.009,19,14.46
wildfire,2.06,35.6,353.9,hilly,2497.6,0.503,8,2.06
wildfire,27.45,19.5,197.8,flat,361.4,0.53,8,42.51
flood,13.93,46.5,10.0,mountainous,1201.5,0.242,15,21.14
flood,16.64,31.2,201.6,mountainous,581.8,0.935,3,27.77
wildfire,5.0,22.5,25.6,mountainous,919.0,0.735,11,6.79
wildfire,6.85,46.3,352.3,flat,1101.2,0.777,17,15.43
wildfire,17.03,33.2,49.1,hilly,13.2,0.99,17,48.36
wildfire,42.18,40.1,198.6,flat,329.1,0.048,20,101.34
wildfire,55.64,31.8,348.2,flat,89.3,0.337,1,122.78
flood,44.43,25.0,277.0,forested,2605.8,0.786,20,63.03
wildfire,88.73,16.1,53.0,mountainous,1000.3,0.964,5,88.73
wildfire,49.74,32.4,311.4,forested,2330.8,0.867,21,67.9
wildfire,49.23,20.4,12.5,urban,1927.7,0.006,18,58.2
wildfire,110.87,52.1,66.5,mountainous,1207.8,0.359,16,167.52
wildfire,4.74,33.5,297.8,urban,1772.9,0.704,5,6.02
flood,77.38,34.8,147.3,flat,1848.0,0.831,13,152.23
flood,43.81,38.4,72.1,urban,2410.7,0.516,5,75.2
wildfire,102.02,46.1,104.4,mountainous,165.1,0.313,13,180.12
wildfire,5.1,44.8,296.1,hilly,583.1,0.646,25,12.36
flood,4.02,36.6,327.9,forested,401.1,0.091,28,8.19
wildfire,168.94,23.3,278.5,coastal,2343.8,0.294,10,168.94
flood,20.96,21.0,296.2,forested,2800.4,0.974,9,27.78
wildfire,17.1,0.0,0.8,hilly,1359.9,0.571,25,17.1
wildfire,53.73,31.7,17.3,coastal,1533.1,0.227,8,66.7
wildfire,8.7,21.4,69.4,coastal,2488.1,0.471,20,10.48
flood,54.83,34.2,34.7,coastal,631.3,0.907,14,144.96
flood,9.7,8.4,2.2,coastal,2380.5,0.436,11,11.73
wildfire,130.24,0.0,98.3,urban,2015.3,0.36,16,130.24
wildfire,21.91,17.0,320.5,coastal,608.0,0.393,22,26.06
flood,131.85,30.4,355.5,hilly,1590.3,0.228,11,248.72
wildfire,120.79,28.0,32.1,hilly,1396.2,0.541,15,163.87
flood,38.63,43.3,207.4,mountainous,810.7,0.558,22,70.26
wildfire,26.63,17.4,165.5,mountainous,548.9,0.212,27,33.33
wildfire,22.02,28.1,105.2,coastal,173.8,0.443,9,44.09
flood,19.28,14.4,244.2,mountainous,2302.2,0.077,23,25.46
wildfire,37.05,38.7,100.7,mountainous,1682.3,0.354,9,42.29
wildfire,55.52,25.6,189.1,hilly,1424.8,0.187,12,72.55
flood,92.19,33.8,121.9,flat,1739.3,0.25,18,172.79
flood,28.54,25.4,252.9,forested,2979.6,0.729,21,47.21
wildfire,83.62,22.2,97.1,hilly,2192.6,0.564,12,83.62
flood,144.72,28.0,174.2,forested,217.7,0.628,22,283.01
wildfire,59.25,21.1,290.0,hilly,246.8,0.577,29,113.85
wildfire,22.85,40.4,204.9,hilly,2830.0,0.151,25,22.85
flood,113.21,55.3,67.0,mountainous,200.2,0.472,16,164.58
wildfire,71.47,15.9,169.6,hilly,2152.3,0.221,8,71.47
wildfire,3.03,26.1,56.3,flat,1351.9,0.845,11,5.81
flood,10.18,45.3,88.8,hilly,2003.7,0.812,9,19.34
flood,85.89,21.8,116.5,coastal,1450.8,0.064,3,162.05
wildfire,39.99,24.1,349.8,urban,2613.3,0.278,9,39.99
flood,25.9,30.7,23.1,coastal,2835.9,0.532,8,40.01
flood,34.02,10.4,175.1,flat,1206.1,0.027,2,50.01
wildfire,50.77,0.0,166.2,forested,54.0,0.041,20,68.57
flood,15.67,7.2,176.5,hilly,2232.3,0.662,18,19.01
wildfire,14.27,32.2,359.9,hilly,813.6,0.683,22,22.5
flood,16.45,5.2,86.1,coastal,137.8,0.04,25,29.37
flood,7.52,23.2,43.6,urban,102.3,0.636,4,11.22
flood,84.28,17.3,7.0,mountainous,2718.7,0.601,29,131.88
wildfire,18.24,34.6,203.8,coastal,37.4,0.163,26,29.16
flood,13.83,43.5,355.2,urban,174.2,0.755,22,27.31
wildfire,23.92,25.4,89.4,forested,2250.7,0.259,17,30.47
flood,13.91,7.0,129.2,hilly,1289.2,0.311,13,24.11
flood,16.97,11.8,119.3,coastal,1049.7,0.745,2,24.23
wildfire,15.71,35.0,224.6,mountainous,976.3,0.26,19,21.63
wildfire,59.86,53.3,42.0,hilly,1907.4,0.393,15,80.46
wildfire,9.55,28.4,88.8,flat,992.7,0.814,12,16.36
flood,40.15,46.3,276.1,mountainous,197.3,0.38,3,73.61
flood,193.79,0.0,211.2,mountainous,972.3,0.257,15,193.79
wildfire,27.38,26.6,148.7,urban,2178.0,0.2,12,27.38
flood,85.54,20.6,354.6,mountainous,2546.3,0.397,20,132.22
wildfire,5.96,26.9,336.1,urban,2238.6,0.046,20,5.96
flood,88.15,26.3,95.9,hilly,2596.4,0.547,15,135.32
flood,10.81,69.9,301.5,coastal,2907.2,0.233,15,29.67
wildfire,79.81,25.4,318.3,urban,2687.8,0.392,24,79.81
wildfire,3.0,48.8,34.3,flat,611.1,0.293,24,6.7
wildfire,20.67,43.0,128.1,hilly,2588.3,0.119,22,21.58
wildfire,48.1,46.1,11.5,coastal,516.0,0.561,25,68.55
flood,6.21,46.6,159.3,hilly,1935.6,0.037,19,12.38
wildfire,88.7,32.1,292.2,mountainous,1995.0,0.703,5,98.39
wildfire,104.81,24.9,105.9,forested,2825.1,0.875,23,117.93
wildfire,37.9,30.9,279.9,hilly,1339.3,0.743,28,70.28
flood,49.65,25.4,41.1,mountainous,2670.2,0.443,8,97.6
flood,75.37,41.8,180.0,forested,2048.7,0.315,4,176.29
flood,59.99,60.0,47.5,mountainous,2839.7,0.278,23,113.95
wildfire,41.32,11.2,17.8,flat,281.3,0.703,26,59.29
wildfire,16.14,20.2,332.6,mountainous,1191.0,0.672,2,18.44
wildfire,7.09,0.0,216.4,urban,2294.0,0.099,23,7.09
flood,2.97,32.5,69.0,forested,890.9,0.625,6,7.13
wildfire,65.37,11.8,346.4,forested,2787.4,0.397,9,65.37
flood,27.06,24.4,68.6,hilly,2772.6,0.149,25,33.85
wildfire,129.2,0.0,89.0,urban,1426.6,0.227,11,129.2
flood,24.86,17.9,157.1,forested,648.6,0.275,1,45.19
flood,30.72,37.2,292.8,hilly,694.2,0.915,2,63.86
wildfire,57.25,34.7,129.9,forested,114.9,0.4,24,143.27
flood,64.58,13.0,30.5,forested,839.0,0.305,3,134.63
wildfire,86.45,36.3,288.5,coastal,2393.9,0.69,24,86.45
flood,55.91,39.0,115.4,forested,1411.2,0.985,15,129.25
flood,23.32,0.0,308.5,coastal,1778.4,0.257,13,26.05
flood,43.07,46.9,59.1,hilly,2600.0,0.158,28,90.18
wildfire,32.95,24.0,300.9,forested,2419.3,0.71,17,41.98
flood,22.69,22.1,37.9,flat,2153.2,0.976,17,53.21
flood,23.32,8.6,65.6,hilly,2372.2,0.803,15,28.36
wildfire,63.85,25.4,30.7,forested,338.3,0.471,26,119.85
flood,11.74,17.9,232.2,urban,1480.7,0.204,29,18.17
flood,1.64,0.0,242.8,coastal,482.0,0.734,11,2.31
flood,5.87,9.9,257.3,flat,457.3,0.665,2,8.0
wildfire,226.11,1.3,271.5,flat,2843.7,0.501,26,226.11
flood,22.34,23.8,219.0,flat,1892.3,0.591,12,38.67
wildfire,20.86,34.7,105.9,mountainous,2861.1,0.547,4,20.86
flood,50.09,22.1,338.2,flat,2011.0,0.135,2,69.33
flood,36.51,26.1,262.9,mountainous,2975.1,0.298,5,49.42
wildfire,58.01,14.5,82.4,flat,823.7,0.629,23,75.93
flood,10.68,46.1,227.5,coastal,138.9,0.624,8,31.53
flood,2.96,20.0,270.5,urban,1012.1,0.502,25,5.04
flood,109.78,10.1,266.9,mountainous,233.0,0.588,13,176.97
wildfire,47.7,10.2,251.0,hilly,593.2,0.19,14,53.14
flood,18.32,17.6,84.9,mountainous,2382.5,0.836,25,28.9
wildfire,35.6,19.5,163.9,flat,253.5,0.456,17,69.24
wildfire,190.44,21.2,350.1,mountainous,2543.5,0.166,11,190.44
wildfire,140.86,8.1,13.2,flat,244.5,0.79,2,178.57
wildfire,156.8,6.1,333.5,forested,2323.1,0.923,14,156.8
wildfire,52.73,31.2,358.9,hilly,989.3,0.17,14,80.72
wildfire,35.22,48.8,1.5,mountainous,1261.1,0.333,29,57.27
wildfire,102.52,10.3,81.8,forested,1509.7,0.169,19,102.52
flood,39.16,23.2,253.5,flat,1015.3,0.449,16,98.36
wildfire,18.81,32.6,68.1,urban,1591.5,0.721,2,21.9
flood,43.87,3.2,319.8,forested,452.6,0.378,7,68.72
wildfire,33.86,18.8,188.4,coastal,2055.8,0.719,22,37.66
wildfire,1.18,28.7,305.0,forested,2977.6,0.789,18,1.86
wildfire,51.78,28.6,59.5,mountainous,1908.2,0.16,23,69.47
wildfire,93.25,15.1,134.6,mountainous,2427.7,0.711,22,93.25
flood,246.81,62.3,270.8,hilly,543.7,0.332,5,664.73
flood,138.41,45.1,292.3,coastal,401.8,0.301,7,441.03
wildfire,67.27,20.7,150.6,forested,1863.7,0.526,24,89.98
wildfire,49.47,31.2,167.5,flat,639.7,0.399,8,90.99
wildfire,4.28,22.7,121.2,coastal,39.3,0.513,22,8.62
flood,85.75,35.8,62.4,hilly,2560.6,0.008,19,147.4
flood,2.35,0.0,225.4,flat,451.2,0.997,4,3.32
flood,32.26,44.8,297.7,urban,1952.5,0.913,16,47.22
wildfire,22.46,39.0,291.6,hilly,1818.0,0.616,7,30.03
wildfire,45.18,34.8,278.3,forested,764.3,0.804,23,100.32
flood,26.38,22.6,293.1,hilly,972.0,0.321,13,43.8
flood,35.02,27.8,64.0,forested,13.0,0.949,16,74.08
wildfire,46.68,35.8,349.6,mountainous,1091.8,0.09,2,65.81
wildfire,75.38,42.0,171.8,hilly,1042.9,0.049,5,82.87
flood,74.07,43.3,153.2,hilly,944.0,0.5,9,151.52
wildfire,130.51,28.3,224.4,flat,2771.4,0.88,6,165.24
flood,15.06,20.0,44.7,coastal,1398.5,0.951,8,24.3
flood,2.93,15.7,213.9,forested,841.8,0.809,22,5.51
wildfire,28.16,39.4,254.3,coastal,369.2,0.283,24,35.05
flood,61.0,9.2,31.4,mountainous,915.8,0.211,6,89.2
wildfire,48.61,12.5,344.0,mountainous,2001.1,0.189,10,48.61
flood,28.55,14.5,6.1,flat,391.8,0.496,6,50.81
wildfire,45.7,1.2,37.4,urban,2005.9,0.221,17,45.7
wildfire,178.12,14.0,57.5,urban,2474.0,0.354,3,178.12
flood,54.92,7.0,122.9,mountainous,2572.0,0.311,28,59.17
flood,9.91,24.7,275.0,forested,1827.4,0.527,27,20.12
flood,322.07,38.3,284.1,hilly,2020.3,0.027,28,441.32
flood,283.27,13.7,358.9,flat,2692.3,0.897,19,462.56
wildfire,77.13,18.5,264.6,flat,2781.1,0.624,29,77.13
wildfire,10.89,31.5,150.3,forested,640.1,0.909,8,32.78
flood,70.91,13.1,103.9,urban,596.6,0.377,25,105.19
wildfire,8.12,33.8,118.1,forested,2556.7,0.135,25,8.12
wildfire,33.56,36.5,321.0,urban,2889.7,0.382,13,33.56
wildfire,44.13,15.0,308.4,forested,1737.9,0.806,19,63.94
wildfire,28.39,38.5,205.8,hilly,790.1,0.308,5,39.42
wildfire,13.24,46.9,146.7,mountainous,2861.0,0.106,19,15.09
flood,25.47,36.6,306.6,hilly,846.3,0.356,17,47.95
flood,38.5,11.2,26.4,urban,410.2,0.211,11,48.75
wildfire,18.18,38.1,24.6,hilly,1943.2,0.204,27,26.4
flood,163.46,41.8,309.4,coastal,1791.8,0.506,11,338.78
flood,53.49,13.0,42.4,forested,2458.9,0.527,9,62.19
wildfire,76.65,14.8,174.9,forested,189.5,0.777,27,129.63
flood,13.44,42.5,187.7,mountainous,797.6,0.213,22,31.62
flood,4.74,38.7,249.3,urban,2129.2,0.342,19,7.67
wildfire,3.02,26.0,353.6,urban,2106.0,0.413,3,3.54
wildfire,7.11,23.3,112.7,forested,154.0,0.497,19,9.56
wildfire,54.45,18.4,50.8,mountainous,1339.4,0.279,4,59.96
wildfire,25.93,29.3,91.5,hilly,216.8,0.335,12,34.82
wildfire,162.34,42.1,98.4,forested,2636.9,0.551,18,243.08
wildfire,9.65,54.7,159.5,hilly,1831.8,0.821,13,19.19
